school,accept_rate,25th_percentile,75th_percentile
Stanford University,0.043,1440.0,1570.0
Harvard College,0.047,1460.0,1580.0
Princeton University,0.055,1440.0,1570.0
Columbia University,0.055,1450.0,1560.0
Yale University,0.061,1460.0,1570.0
California Institute of Technology,0.064,1530.0,1560.0
Massachusetts Institute of Technology,0.067,1500.0,1570.0
Brown University,0.071,1440.0,1570.0
University of Chicago,0.073,1490.0,1570.0
Pomona College,0.07400000000000001,1390.0,1540.0
University of Pennsylvania,0.077,1450.0,1560.0
Dartmouth College,0.079,1440.0,1560.0
Bowdoin College,0.08800000000000001,1330.0,1520.0
Duke University,0.08900000000000001,1450.0,1570.0
Swarthmore College,0.08900000000000001,1380.0,1540.0
Northwestern University,0.091,1440.0,1550.0
Vanderbilt University,0.091,1460.0,1560.0
Claremont McKenna College,0.10300000000000001,1360.0,1510.0
Johns Hopkins University,0.106,1470.0,1560.0
Cornell University,0.109,1400.0,1560.0
Rice University,0.111,1450.0,1560.0
Amherst College,0.113,1410.0,1550.0
Barnard College,0.11800000000000001,1340.0,1520.0
Bates College,0.121,1270.0,1480.0
University of California—​Los Angeles,0.12300000000000001,1290.0,1510.0
Tulane University,0.129,1360.0,1520.0
University of Southern California,0.13,1350.0,1530.0
Williams College,0.13,1410.0,1550.0
Colby College,0.13,1350.0,1510.0
Pitzer College,0.133,1340.0,1490.0
Colorado College,0.135,1300.0,1480.0
Harvey Mudd College,0.13699999999999998,1490.0,1570.0
Georgetown University,0.145,1370.0,1530.0
University of California—​Berkeley,0.14800000000000002,1300.0,1530.0
Tufts University,0.15,1390.0,1540.0
Washington University in St. Louis,0.15,1470.0,1570.0
Middlebury College,0.154,1360.0,1530.0
Carnegie Mellon University,0.154,1460.0,1560.0
University of Notre Dame,0.158,1400.0,1550.0
The Cooper Union,0.16,1283.0,1510.0
New York University,0.162,1370.0,1510.0
Haverford College,0.163,1380.0,1540.0
Wesleyan University,0.165,1320.0,1510.0
Hamilton College,0.165,1370.0,1520.0
Northeastern University,0.18100000000000002,1390.0,1540.0
Davidson College,0.18100000000000002,1310.0,1485.0
Emory University,0.185,1350.0,1520.0
Carleton College,0.19,1360.0,1540.0
Georgia Institute of Technology,0.20600000000000002,1300.0,1510.0
Washington and Lee University,0.212,1348.0,1490.0
Wellesley College,0.21600000000000003,1360.0,1530.0
Boston University,0.221,1330.0,1500.0
Colgate University,0.226,1330.0,1500.0
University of North Carolina—​Chapel Hill,0.226,1300.0,1490.0
University of Michigan—​Ann Arbor,0.22899999999999998,1340.0,1530.0
Vassar College,0.237,1370.0,1530.0
Rhode Island School of Design,0.239,1180.0,1440.0
University of Virginia,0.239,1340.0,1500.0
