number_of_applicants,accept_rate,enrolled_lower_sat,enrolled_higher_sat
47452,0.043,1440.0,1570.0
42749,0.047,1460.0,1580.0
35370,0.055,1440.0,1570.0
40203,0.055,1450.0,1560.0
36844,0.061,1460.0,1570.0
8367,0.064,1530.0,1560.0
21706,0.067,1500.0,1570.0
38674,0.071,1440.0,1570.0
32283,0.073,1490.0,1570.0
10401,0.07400000000000001,1390.0,1540.0
44961,0.077,1450.0,1560.0
23650,0.079,1440.0,1560.0
9332,0.08800000000000001,1330.0,1520.0
35767,0.08900000000000001,1450.0,1570.0
11442,0.08900000000000001,1380.0,1540.0
40585,0.091,1440.0,1550.0
37310,0.091,1460.0,1560.0
6066,0.10300000000000001,1360.0,1510.0
29129,0.106,1470.0,1560.0
49114,0.109,1400.0,1560.0
20923,0.111,1450.0,1560.0
10569,0.113,1410.0,1550.0
9320,0.11800000000000001,1340.0,1520.0
8222,0.121,1270.0,1480.0
111322,0.12300000000000001,1290.0,1510.0
42185,0.129,1360.0,1520.0
64352,0.13,1350.0,1530.0
9560,0.13,1410.0,1550.0
12313,0.13,1350.0,1510.0
4358,0.133,1340.0,1490.0
9456,0.135,1300.0,1480.0
4045,0.13699999999999998,1490.0,1570.0
22872,0.145,1370.0,1530.0
89621,0.14800000000000002,1300.0,1530.0
22766,0.15,1390.0,1540.0
31320,0.15,1470.0,1570.0
9754,0.154,1360.0,1530.0
27634,0.154,1460.0,1560.0
22200,0.158,1400.0,1550.0
2447,0.16,1283.0,1510.0
79462,0.162,1370.0,1510.0
4963,0.163,1380.0,1540.0
13264,0.165,1320.0,1510.0
8279,0.165,1370.0,1520.0
62263,0.18100000000000002,1390.0,1540.0
5982,0.18100000000000002,1310.0,1485.0
27559,0.185,1350.0,1520.0
7382,0.19,1360.0,1540.0
36856,0.20600000000000002,1300.0,1510.0
5855,0.212,1348.0,1490.0
6395,0.21600000000000003,1360.0,1530.0
64481,0.221,1330.0,1500.0
9951,0.226,1330.0,1500.0
42466,0.226,1300.0,1490.0
64972,0.22899999999999998,1340.0,1530.0
8961,0.237,1370.0,1530.0
3913,0.239,1180.0,1440.0
40839,0.239,1340.0,1500.0
7349,0.244,1370.0,1530.0
6362,0.24,1270.0,1450.0
95568,0.265,1180.0,1440.0
38919,0.271,1280.0,1420.0
35552,0.272,1370.0,1490.0
22909,0.282,1320.0,1470.0
12356,0.28300000000000003,1290.0,1460.0
54072,0.284,1250.0,1420.0
9864,0.28800000000000003,1290.0,1450.0
26642,0.293,1350.0,1520.0
20216,0.295,1300.0,1500.0
93457,0.29600000000000004,1260.0,1460.0
12559,0.29600000000000004,1320.0,1490.0
11102,0.3,1220.0,1400.0
97901,0.302,1250.0,1470.0
9502,0.304,1250.0,1460.0
11798,0.311,1280.0,1500.0
8521,0.315,1250.0,1440.0
18984,0.315,1220.0,1380.0
53525,0.318,1240.0,1470.0
3022,0.32,1333.0,1490.0
15649,0.321,1280.0,1450.0
6598,0.32299999999999995,1320.0,1510.0
5597,0.325,1340.0,1520.0
3332,0.331,1290.0,1510.0
6096,0.335,1300.0,1460.0
8042,0.33899999999999997,1210.0,1380.0
69842,0.34,1110.0,1320.0
6662,0.341,1270.0,1460.0
7200,0.342,1260.0,1430.0
9845,0.342,1255.0,1430.0
12941,0.35600000000000004,1200.0,1390.0
11265,0.35700000000000004,1220.0,1420.0
13028,0.36,1040.0,1310.0
7708,0.364,1280.0,1480.0
31030,0.364,1090.0,1260.0
7501,0.36700000000000005,1300.0,1480.0
6784,0.374,1310.0,1450.0
14680,0.377,1320.0,1510.0
3908,0.382,1270.0,1490.0
1576,0.382,1030.0,1213.0
7941,0.385,1100.0,1320.0
464,0.38799999999999996,1180.0,1410.0
39854,0.39,890.0,1080.0
71297,0.39299999999999996,1040.0,1250.0
5815,0.395,1325.0,1520.0
38755,0.39799999999999996,1310.0,1440.0
6426,0.401,1240.0,1410.0
8526,0.408,1180.0,1410.0
26968,0.409,1280.0,1470.0
76647,0.41200000000000003,1150.0,1410.0
9265,0.414,1330.0,1480.0
6998,0.424,1160.0,1350.0
6086,0.429,1220.0,1420.0
20402,0.43,1330.0,1500.0
9252,0.43200000000000005,1240.0,1410.0
20303,0.434,1130.0,1330.0
9106,0.434,1080.0,1230.0
18592,0.43799999999999994,1230.0,1410.0
32987,0.441,1280.0,1480.0
37079,0.441,1230.0,1440.0
5207,0.447,1220.0,1430.0
30995,0.449,1250.0,1390.0
34582,0.45299999999999996,1200.0,1380.0
4676,0.45299999999999996,1150.0,1360.0
6269,0.45399999999999996,1270.0,1420.0
46308,0.46,1250.0,1430.0
19028,0.47100000000000003,1150.0,1350.0
13959,0.473,1300.0,1480.0
11478,0.475,1210.0,1350.0
5694,0.475,1190.0,1430.0
12281,0.486,1040.0,1270.0
26027,0.486,1240.0,1410.0
13755,0.48700000000000004,1200.0,1350.0
34886,0.488,1210.0,1420.0
16300,0.488,1280.0,1440.0
4766,0.49,1140.0,1320.0
71903,0.491,1160.0,1370.0
11260,0.49200000000000005,1210.0,1360.0
13824,0.493,1160.0,1360.0
10645,0.494,1310.0,1470.0
34981,0.499,1180.0,1370.0
7276,0.509,1020.0,1205.0
29070,0.513,1230.0,1400.0
4360,0.513,1110.0,1290.0
55906,0.515,1200.0,1360.0
45579,0.518,1240.0,1440.0
50105,0.527,1030.0,1200.0
43921,0.53,1330.0,1450.0
11756,0.531,1260.0,1460.0
14198,0.536,1190.0,1370.0
47703,0.537,1250.0,1460.0
2198,0.5429999999999999,990.0,1160.0
27529,0.5429999999999999,1090.0,1250.0
13858,0.545,1050.0,1200.0
6352,0.547,1150.0,1380.0
36243,0.547,1040.0,1260.0
36660,0.555,1030.0,1250.0
4832,0.5579999999999999,1240.0,1450.0
3325,0.5579999999999999,1240.0,1420.0
9911,0.5660000000000001,1150.0,1360.0
32091,0.5670000000000001,1260.0,1440.0
49788,0.5670000000000001,1130.0,1340.0
40673,0.5670000000000001,1260.0,1480.0
4526,0.569,1203.0,1360.0
11569,0.57,1040.0,1230.0
1494,0.57,1230.0,1390.0
3628,0.57,1040.0,1250.0
12315,0.5710000000000001,1210.0,1350.0
19838,0.574,990.0,1190.0
42899,0.575,1160.0,1390.0
15120,0.575,1180.0,1370.0
